,City_Name,Lat,Lon,Max_Temp,Humidity,Clouds,Wind_Speed,Country,Date
0,Port Alfred,-33.59,26.89,57.94,71,0,14.32,ZA,1598572677
1,Carnarvon,-24.87,113.63,66.2,100,40,8.05,AU,1598572678
2,Busselton,-33.65,115.33,51.01,85,0,1.3,AU,1598572678
3,Nouakchott,18.09,-15.98,84.2,79,20,10.29,MR,1598572678
4,Aklavik,68.22,-135.01,42.8,75,75,6.93,CA,1598572473
5,Airai,-8.93,125.41,67.1,59,7,6.49,TL,1598572506
6,Ushuaia,-54.8,-68.3,37.4,55,40,6.93,AR,1598572678
7,Puerto Ayora,-0.74,-90.35,66.99,87,73,7.0,EC,1598572678
8,Thinadhoo,0.53,72.93,83.07,66,100,5.03,MV,1598572679
9,Pevek,69.7,170.31,40.33,86,9,4.09,RU,1598572497
10,Saint-Philippe,-21.36,55.77,68.0,60,36,4.7,RE,1598572679
11,Bredasdorp,-34.53,20.04,53.6,93,47,10.29,ZA,1598572679
12,Hobyo,5.35,48.53,75.99,79,96,26.11,SO,1598572496
13,Mahébourg,-20.41,57.7,69.8,77,75,3.36,MU,1598572680
14,Shingū,33.73,135.98,84.2,79,40,3.36,JP,1598572680
15,Margate,51.38,1.39,61.0,87,51,4.0,GB,1598572519
16,Butaritari,3.07,172.79,82.6,69,100,10.94,KI,1598572511
17,Jamestown,42.1,-79.24,70.0,83,1,11.41,US,1598572479
18,Palekastro,35.2,26.25,79.0,58,0,11.01,GR,1598572680
19,Norman Wells,65.28,-126.83,57.2,76,75,8.05,CA,1598572496
20,Vila Franca do Campo,37.72,-25.43,71.6,83,20,1.95,PT,1598572681
21,Cape Town,-33.93,18.42,55.0,81,75,8.05,ZA,1598572660
22,Punta Arenas,-53.15,-70.92,32.0,90,83,20.8,CL,1598572677
23,Gardelegen,52.53,11.4,57.0,74,99,7.02,DE,1598572681
24,Santa Cruz Cabrália,-16.28,-39.02,71.6,83,75,2.24,BR,1598572681
25,Miraflores,19.22,-98.81,68.0,64,90,12.75,MX,1598572682
26,Morro Bay,35.37,-120.85,70.0,82,10,11.01,US,1598572682
27,Vila,42.03,-8.16,68.0,94,90,6.93,PT,1598572682
28,Shimoda,34.67,138.95,84.2,89,40,2.24,JP,1598572682
29,Sucre,-19.03,-65.26,62.6,45,0,3.47,BO,1598572682
30,Lebu,-37.62,-73.65,48.96,88,97,10.8,CL,1598572491
31,Epe,6.58,3.98,74.55,88,83,6.71,NG,1598572683
32,Ust-Tsilma,65.44,52.15,47.1,94,36,6.78,RU,1598572671
33,Khatanga,71.97,102.5,60.1,68,44,6.33,RU,1598572683
34,Lüderitz,-26.65,15.16,53.69,76,0,12.97,NA,1598572683
35,Hasaki,35.73,140.83,88.0,83,40,8.05,JP,1598572683
36,Poltavka,54.37,71.76,55.11,84,49,5.93,RU,1598572683
37,Albany,42.6,-73.97,63.0,91,100,3.24,US,1598572475
38,Vaini,-21.2,-175.2,80.6,69,40,8.05,TO,1598572684
39,Avarua,-21.21,-159.78,77.0,57,39,13.87,CK,1598572475
40,Marovoay,-16.1,46.63,71.6,73,20,5.82,MG,1598572684
41,Río Gallegos,-51.62,-69.22,37.4,47,40,20.8,AR,1598572684
42,Hermanus,-34.42,19.23,51.01,89,63,16.55,ZA,1598572684
43,Arraial do Cabo,-22.97,-42.03,70.86,90,0,11.54,BR,1598572478
44,Richmond,37.55,-77.46,87.8,62,90,13.87,US,1598572494
45,Kameoka,35.0,135.58,84.2,79,75,3.36,JP,1598572685
46,Guerrero Negro,27.98,-114.06,83.5,56,0,16.46,MX,1598572475
47,Rikitea,-23.12,-134.97,68.54,60,0,2.98,PF,1598572474
